Question ID,Variant 1,Variant 2,Variant 3,Variant 4,Variant 5,Variant 6,Variant 7,Variant 8,Variant 9,Variant 10,# of correct per question,Topic,Difficulty Level
Q1,fail,correct,fail,correct,correct,fail,fail,correct,fail,correct,5,analytic geometry,high school
Q2,correct,correct,correct,correct,correct,correct,correct,correct,fail,correct,9,statistics,elementary school
Q3,correct,correct,correct,correct,correct,correct,correct,correct,correct,fail,9,statistics,high school
Q4,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,high school
Q5,fail,correct,correct,correct,correct,correct,correct,correct,correct,correct,9,statistics,elementary school
Q6,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,high school
Q7,fail,fail,fail,fail,correct,fail,fail,fail,fail,fail,1,arithmetic,elementary school
Q8,correct,correct,correct,fail,fail,correct,fail,fail,correct,correct,6,plane geometry,high school
Q9,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,elementary school
Q10,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,elementary school
Q11,fail,correct,correct,fail,fail,fail,fail,fail,fail,fail,2,plane geometry,high school
Q12,correct,correct,fail,fail,correct,correct,correct,correct,correct,correct,8,analytic geometry,high school
Q13,fail,correct,correct,correct,correct,correct,correct,correct,correct,fail,8,plane geometry,high school
Q14,fail,fail,fail,fail,fail,correct,fail,correct,fail,fail,2,analytic geometry,high school
Q15,correct,correct,correct,correct,fail,fail,correct,correct,correct,fail,7,analytic geometry,high school
Q16,correct,correct,correct,fail,fail,correct,correct,correct,fail,correct,7,algebra,high school
Q17,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,elementary school
Q18,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,elementary school
Q19,correct,correct,correct,correct,correct,correct,correct,correct,fail,correct,9,statistics,elementary school
Q20,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,statistics,elementary school
Q21,fail,correct,fail,fail,fail,fail,fail,fail,correct,fail,2,arithmetic,elementary school
Q22,correct,fail,fail,fail,fail,fail,fail,correct,correct,correct,4,arithmetic,elementary school
Q23,correct,correct,fail,fail,correct,fail,correct,correct,fail,fail,5,analytic geometry,high school
Q24,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school
Q25,correct,correct,correct,correct,fail,correct,correct,correct,fail,correct,8,arithmetic,elementary school
Q26,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school
Q27,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,solid geometry,high school
Q28,fail,fail,fail,correct,fail,fail,fail,fail,fail,fail,1,plane geometry,high school
Q29,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,arithmetic,elementary school
Q30,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,elementary school
Q31,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,arithmetic,elementary school
Q32,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school
Q33,correct,correct,correct,correct,correct,correct,correct,correct,correct,fail,9,analytic geometry,undergraduate
Q34,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q35,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,arithmetic,elementary school
Q36,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,solid geometry,high school
Q37,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,elementary school
Q38,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school
Q39,correct,correct,correct,fail,correct,correct,fail,correct,fail,correct,7,statistics,undergraduate
Q40,fail,correct,correct,fail,correct,fail,correct,fail,correct,correct,6,algebra,high school
Q41,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school
Q42,correct,fail,fail,fail,correct,fail,fail,fail,fail,fail,2,graph theory,undergraduate
Q43,fail,fail,fail,fail,correct,fail,fail,correct,fail,fail,2,plane geometry,high school
Q44,correct,fail,correct,correct,correct,correct,fail,correct,fail,correct,7,plane geometry,high school
Q45,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school
Q46,correct,fail,fail,correct,fail,fail,fail,fail,fail,correct,3,analytic geometry,high school
Q47,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,high school
Q48,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,elementary school
Q49,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school
Q50,fail,correct,fail,correct,correct,correct,correct,fail,correct,correct,7,analytic geometry,high school
Q51,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,arithmetic,elementary school
Q52,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,undergraduate
Q53,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school
Q54,fail,correct,correct,correct,fail,correct,fail,correct,correct,fail,6,analytic geometry,high school
Q55,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q56,correct,correct,correct,correct,correct,correct,correct,fail,fail,fail,7,analytic geometry,high school
Q57,fail,correct,fail,correct,fail,correct,correct,correct,correct,correct,7,plane geometry,high school
Q58,correct,correct,correct,correct,correct,correct,correct,correct,fail,fail,8,analytic geometry,high school
Q59,fail,correct,correct,correct,correct,correct,correct,correct,correct,correct,9,arithmetic,high school
Q60,correct,correct,correct,correct,correct,correct,correct,correct,fail,correct,9,solid geometry,high school
Q61,correct,fail,fail,fail,correct,fail,correct,fail,fail,fail,3,analytic geometry,high school
Q62,fail,correct,correct,correct,correct,correct,correct,fail,correct,correct,8,plane geometry,elementary school
Q63,fail,fail,fail,fail,fail,correct,fail,correct,correct,fail,3,algebra,high school
Q64,correct,fail,correct,correct,fail,fail,fail,correct,correct,correct,6,analytic geometry,undergraduate
Q65,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school
Q66,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school
Q67,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school
Q68,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,high school
Q69,correct,correct,correct,correct,fail,correct,correct,correct,fail,correct,8,analytic geometry,high school
Q70,correct,correct,correct,fail,fail,fail,correct,fail,correct,correct,6,plane geometry,high school
Q71,fail,fail,correct,fail,fail,correct,fail,correct,fail,fail,3,arithmetic,elementary school
Q72,correct,correct,correct,correct,correct,fail,correct,correct,correct,correct,9,statistics,undergraduate
Q73,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,high school
Q74,correct,correct,correct,correct,correct,fail,correct,correct,fail,correct,8,solid geometry,high school
Q75,correct,correct,fail,correct,correct,correct,correct,correct,correct,correct,9,analytic geometry,high school
Q76,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,high school
Q77,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,undergraduate
Q78,fail,fail,correct,fail,fail,fail,correct,fail,fail,fail,2,analytic geometry,undergraduate
Q79,fail,correct,fail,fail,correct,correct,fail,correct,correct,correct,6,analytic geometry,undergraduate
Q80,correct,correct,correct,correct,correct,correct,correct,correct,correct,fail,9,plane geometry,high school
Q81,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q82,correct,correct,correct,correct,correct,correct,correct,fail,correct,correct,9,algebra,undergraduate
Q83,correct,correct,correct,correct,fail,fail,correct,correct,correct,correct,8,plane geometry,high school
Q84,fail,correct,fail,fail,correct,correct,correct,correct,correct,fail,6,plane geometry,high school
Q85,correct,fail,correct,fail,fail,correct,correct,correct,correct,correct,7,plane geometry,high school
Q86,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,undergraduate
Q87,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,undergraduate
Q88,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,undergraduate
Q89,correct,fail,correct,correct,fail,correct,fail,correct,fail,fail,5,algebra,undergraduate
