Question ID,Variant 1,Variant 2,Variant 3,Variant 4,Variant 5,Variant 6,Variant 7,Variant 8,Variant 9,Variant 10,# of correct per question,Topic,Difficulty Level
Q1,fail,fail,fail,correct,correct,fail,fail,correct,fail,fail,3,analytic geometry,high school
Q2,correct,fail,correct,correct,correct,correct,correct,correct,correct,correct,9,statistics,elementary school
Q3,correct,correct,correct,correct,fail,correct,correct,correct,correct,fail,8,statistics,high school
Q4,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,high school
Q5,fail,correct,correct,correct,correct,correct,correct,correct,correct,correct,9,statistics,elementary school
Q6,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,high school
Q7,fail,fail,fail,fail,fail,fail,correct,fail,fail,fail,1,arithmetic,elementary school
Q8,fail,fail,fail,fail,correct,fail,fail,fail,fail,fail,1,plane geometry,high school
Q9,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,elementary school
Q10,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,elementary school
Q11,fail,fail,fail,fail,fail,fail,fail,fail,correct,fail,1,plane geometry,high school
Q12,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,high school
Q13,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q14,fail,correct,fail,correct,correct,correct,correct,fail,fail,correct,6,analytic geometry,high school
Q15,correct,fail,fail,correct,fail,fail,correct,correct,correct,fail,5,analytic geometry,high school
Q16,correct,correct,correct,correct,correct,fail,correct,correct,correct,correct,9,algebra,high school
Q17,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,elementary school
Q18,fail,fail,fail,fail,fail,fail,fail,correct,fail,correct,2,plane geometry,elementary school
Q19,correct,correct,correct,correct,correct,correct,correct,correct,fail,correct,9,statistics,elementary school
Q20,fail,correct,correct,correct,fail,fail,correct,correct,fail,fail,5,statistics,elementary school
Q21,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,arithmetic,elementary school
Q22,correct,fail,fail,correct,fail,fail,fail,fail,fail,fail,2,arithmetic,elementary school
Q23,correct,correct,correct,fail,fail,fail,fail,fail,fail,fail,3,analytic geometry,high school
Q24,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school
Q25,fail,correct,correct,fail,fail,fail,correct,fail,fail,correct,4,arithmetic,elementary school
Q26,correct,fail,fail,fail,fail,correct,fail,fail,fail,fail,2,plane geometry,high school
Q27,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,solid geometry,high school
Q28,correct,fail,correct,correct,fail,correct,fail,fail,correct,correct,6,plane geometry,high school
Q29,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,arithmetic,elementary school
Q30,correct,correct,correct,correct,fail,correct,fail,correct,correct,correct,8,statistics,elementary school
Q31,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,arithmetic,elementary school
Q32,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q33,correct,correct,fail,fail,correct,correct,correct,correct,correct,fail,7,analytic geometry,undergraduate
Q34,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q35,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,arithmetic,elementary school
Q36,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,solid geometry,high school
Q37,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,elementary school
Q38,fail,fail,fail,correct,correct,fail,fail,fail,fail,fail,2,plane geometry,high school
